source_id_1,TYC_ID_1,ra_1,dec_1,mu_ra_1,mu_dec_1,mu_ra_err_1,mu_dec_err_1,plx_1,plx_err_1,source_id_2,TYC_ID_2,ra_2,dec_2,mu_ra_2,mu_dec_2,mu_ra_err_2,mu_dec_err_2,plx_2,plx_err_2,P_log_flat,P_power_law,theta
2232011662402079744,4490-372-1,350.208106209,74.611423145,-14.742,-4.464,0.977,3.727,1.934,0.344,2232011765481295744,4490-308-1,350.223169977,74.60349224,-14.78,-4.434,0.772,0.753,1.883,0.261,0.9994,0.9956,31.97
2305469278339714560,4662-141-1,350.361862274,88.482924991,7.388,-4.659,0.825,1.01,3.742,0.368,2305481132449873792,4662-109-1,346.902774183,88.640149905,6.815,-4.531,0.798,0.719,4.363,0.304,0.9961,0.7127,646.37
2436807866422659456,5825-27-1,350.482325658,-10.83455377,90.912,-50.461,1.857,1.33,10.796,0.629,2436819067697367808,5825-383-1,350.435572977,-10.862099151,89.843,-48.002,0.063,0.056,11.209,0.416,1.0,1.0,192.76
2630906921817172224,5250-484-1,350.602920044,-6.973459376,-120.272,-114.254,0.892,0.496,13.162,0.322,2630937055307717760,5250-1013-1,350.603436548,-6.802462814,-120.108,-114.588,0.545,0.562,13.173,0.431,1.0,1.0,615.59
6492665914918612736,8837-549-1,350.727429292,-57.79360859,7.807,9.757,0.391,0.499,2.165,0.233,6492666361595210880,8837-592-1,350.820889838,-57.728861683,7.211,9.371,0.469,0.542,2.207,0.283,0.999,0.9956,294.18
2328753567361651840,7507-916-1,350.739291914,-31.228929665,21.619,6.259,2.598,1.131,2.971,0.388,2328753773520081536,7507-844-1,350.75578132,-31.204512136,20.988,8.408,0.851,0.671,2.936,0.304,0.9997,0.9959,101.51
2210196149119448448,4291-47-1,350.753058951,65.655772238,15.419,3.797,1.164,0.548,3.535,0.401,2210201096921767936,4291-1080-1,350.884424178,65.741760451,16.856,3.618,0.689,0.657,2.999,0.282,0.9994,0.9852,365.65
2328753773520081536,7507-844-1,350.75578132,-31.204512136,20.988,8.408,0.851,0.671,2.936,0.304,2328771503145076352,7507-1046-1,350.524546973,-31.033588815,20.463,8.292,1.431,0.967,3.103,0.585,0.997,0.9205,941.54
6528342558979587456,8455-365-1,350.799900213,-46.532577516,-25.868,-21.303,0.676,0.828,7.939,0.287,6528342558979815296,8455-365-2,350.800693292,-46.533087937,-21.589,-22.706,0.713,0.699,7.684,0.302,1.0,1.0,2.69
1937863645950164096,3636-462-1,350.800742277,45.003542378,-17.144,-2.629,0.762,0.355,5.887,0.282,1937863817748855424,3636-487-1,350.770920195,45.009966425,-17.018,-2.753,0.035,0.041,5.883,0.307,1.0,1.0,79.35
2009645503089241088,4011-677-1,350.807593421,58.135232129,0.884,-22.6,1.354,0.705,3.917,0.263,2009646671320329088,4007-3-1,350.85619605,58.123267919,1.214,-22.682,0.963,0.636,3.782,0.261,1.0,0.9999,101.93
2281640490546184960,4606-3586-1,350.965173543,77.070788568,17.875,2.463,0.719,0.674,5.309,0.275,2281640490546185088,4606-1984-1,350.96925011,77.069103423,19.533,2.553,0.679,0.603,5.135,0.269,1.0,1.0,6.9
6499534460978745856,8831-1481-1,350.977694057,-53.808884877,73.985,-34.749,0.025,0.034,7.954,0.429,6499534460978745984,8831-1482-1,350.97110312,-53.815111361,73.908,-33.572,0.06,0.08,5.818,0.366,1.0,0.0,26.43
2231737643489496064,4490-730-1,351.026760814,73.978473544,8.051,0.349,1.572,1.176,3.226,0.603,2231737884007664128,4490-339-1,351.056775758,74.004519402,7.989,-2.173,0.895,0.738,2.876,0.333,0.9968,0.9708,98.39
2661405931262286848,584-483-1,351.088422262,6.0453881,9.068,-19.97,2.047,0.801,4.088,0.56,2661405931262902656,584-483-2,351.087723906,6.045384084,7.125,-21.392,1.894,0.727,4.106,0.538,0.0,1.0,2.5
